DateTime,Entries,UniqueIPs
1583897403,8943,8943
1583899202,8705,8705
1583901003,8765,8765
1583902802,8664,8664
1583904602,8642,8642
1583906402,8574,8574
1583908203,8627,8627
1583910003,8658,8658
1583911802,8765,8765
1583913603,8673,8673
1583915403,8567,8567
1583917203,8669,8669
1583919003,8574,8574
1583920804,8653,8653
1583922604,8928,8928
1583924404,9194,9194
1583926204,8127,8127
1583928004,6527,6527
1583929804,6264,6264
1583931604,5658,5658
1583933405,5472,5472
1583935204,5202,5202
1583937007,4664,4664
1583938807,4476,4476
1583940606,4284,4284
1583942406,4176,4176
1583944208,3912,3912
1583946007,3702,3702
1583947808,3726,3726
1583949608,3700,3700
1583951408,3582,3582
1583953208,3420,3420
1583955008,3114,3114
1583956809,3017,3017
1583958608,3055,3055
1583960409,3033,3033
1583962207,3139,3139
1583964009,3361,3361
1583965809,3516,3516
1583967609,3729,3729
1583969408,3580,3580
1583971209,3558,3558
1583973009,3699,3699
1583974809,3567,3567
1583976611,3386,3386
1583978409,3020,3020
1583980210,1888,1888
1583982009,1650,1650
1583983808,1629,1629
1583985608,1805,1805
1583987410,2001,2001
1583989209,2173,2173
1583991007,2349,2349
1583992809,2310,2310
1583994609,2288,2288
1583996408,2390,2390
1583998208,2528,2528
1584000009,2629,2629
1584001808,2749,2749
1584003608,2825,2825
1584005408,3277,3277
1584007208,3636,3636
1584009008,5362,5362
1584010808,6088,6088
1584012608,6439,6439
1584014408,6959,6959
1584016209,7507,7507
1584018008,7830,7830
1584019807,7824,7824
1584021607,7944,7944
1584023407,8163,8163
1584025207,8031,8031
1584027007,4594,4594
1584028807,2802,2802
1584030608,2647,2647
1584032407,2567,2567
1584034208,2578,2578
1584036009,2354,2354
1584037808,2565,2565
1584039608,2654,2654
1584041408,2388,2388
1584043209,1919,1919
1584045010,1769,1769
1584046811,1938,1938
1584048609,1920,1920
1584050410,2043,2043
1584052210,2324,2324
1584054013,2234,2234
1584055812,1829,1829
1584057612,1811,1811
1584059413,1645,1645
1584061214,1574,1574
1584063015,1264,1264
1584064812,1416,1416
1584066616,1421,1421
1584068418,1491,1491
1584070216,1580,1580
1584072018,1821,1821
1584073821,1862,1862
1584075620,1683,1683
1584077420,1551,1551
1584079220,1363,1363
1584081019,1107,1107
1584082818,858,858
1584084619,672,672
1584086419,554,554
1584088219,615,615
1584090019,693,693
1584091824,748,748
1584093626,835,835
1584095420,831,831
1584097222,802,802
1584099021,781,781
1584100821,840,840
1584102620,943,943
1584104422,1062,1062
1584106224,1036,1036
1584108024,1053,1053
1584109822,1018,1018
1584111621,1067,1067
1584113421,1014,1014
1584115220,1116,1116
1584117022,1185,1185
1584118822,1334,1334
1584120623,1497,1497
1584122420,1598,1598
1584124222,1662,1662
1584126022,1718,1718
1584127819,1659,1659
1584129620,1623,1623
1584131419,1616,1616
1584133219,1474,1474
1584135020,1393,1393
1584136822,1331,1331
1584138618,1229,1229
1584140419,1145,1145
1584142220,1155,1155
1584144019,964,964
1584145818,1616,1616
1584147618,2348,2348
1584149419,2627,2627
1584151221,2663,2663
1584153019,1302,1302
1584154819,1466,1466
1584156617,1522,1522
1584158420,1290,1290
1584160224,1280,1280
1584162020,856,856
1584163822,975,975
1584165620,1086,1086
1584167419,1138,1138
1584169217,1162,1162
1584171022,1098,1098
1584172819,1001,1001
1584174621,1418,1418
1584176420,2187,2187
1584178220,2141,2141
1584180021,2595,2595
1584181821,3154,3154
1584183620,3458,3458
1584185423,2567,2567
1584187224,2622,2622
1584189023,2807,2807
1584190821,3170,3170
1584192620,3510,3510
1584194423,3425,3425
1584196224,3333,3333
1584198023,1896,1896
1584199825,2119,2119
1584201621,2247,2247
1584203425,2118,2118
1584205224,2538,2538
1584207023,2856,2856
1584208825,2599,2599
1584210623,2381,2381
1584212425,2460,2460
1584214223,1924,1924
1584216021,1790,1790
1584217824,2068,2068
1584219619,1927,1927
1584221421,1596,1596
1584223224,1304,1304
1584225021,1798,1798
1584226824,1782,1782
1584228626,1915,1915
1584230425,1249,1249
1584232224,1789,1789
1584234024,1842,1842
1584235824,2415,2415
1584237623,2858,2858
1584239425,2286,2286
1584241224,2515,2515
1584243024,2375,2375
1584244829,2084,2084
1584246626,2071,2071
1584248426,1500,1500
1584250227,1988,1988
1584252029,2212,2212
1584253828,2238,2238
1584255624,2289,2289
1584257426,1766,1766
1584259225,1769,1769
1584261028,1955,1955
1584262826,1849,1849
1584264623,2031,2031
1584266425,2084,2084
1584268226,2013,2013
1584270025,2175,2175
1584271826,2216,2216
1584273624,2057,2057
1584275423,2080,2080
1584277225,1822,1822
1584279026,2226,2226
1584280825,2542,2542
1584282626,2724,2724
1584284427,2678,2678
1584286229,2614,2614
1584288024,2658,2658
1584289825,2143,2143
1584291624,1720,1720
1584293425,1527,1527
1584295225,1732,1732
1584297024,1403,1403
1584298826,1289,1289
1584300625,1441,1441
1584302423,1733,1733
1584304222,1821,1821
1584306023,1720,1720
1584307822,1752,1752
1584309621,1687,1687
1584311424,1644,1644
1584313223,1688,1688
1584315021,1341,1341
1584316822,1355,1355
1584318623,1332,1332
1584320425,1290,1290
1584322222,1330,1330
1584324022,1749,1749
1584325823,1879,1879
1584327623,1957,1957
1584329420,2119,2119
1584331223,1445,1445
1584333025,1485,1485
1584334822,1338,1338
1584336625,1253,1253
1584338423,1166,1166
1584340224,911,911
1584342024,1629,1629
1584343824,2100,2100
1584345624,2307,2307
1584347423,2567,2567
1584349223,1646,1646
1584351025,1731,1731
1584352826,2145,2145
1584354625,2463,2463
1584356425,2480,2480
1584358219,2624,2624
1584360026,2167,2167
1584361825,2442,2442
1584363626,2813,2813
1584365427,2975,2975
1584367225,2866,2866
1584369027,3079,3079
1584370824,2633,2633
1584372625,2788,2788
1584374425,2665,2665
1584376219,2581,2581
1584378026,2361,2361
1584379830,1954,1954
1584381627,2054,2054
1584383428,2113,2113
1584385218,2450,2450
1584387028,2325,2325
1584388832,2417,2417
1584390616,2296,2296
1584392425,3020,3020
1584394225,3107,3107
1584396026,3060,3060
1584397823,3152,3152
1584399618,2325,2325
1584401424,2288,2288
1584403218,2340,2340
1584405024,2297,2297
1584406824,1977,1977
1584408617,1854,1854
1584410418,1761,1761
1584412226,1779,1779
1584414020,1590,1590
1584415831,1365,1365
1584417620,1335,1335
1584419425,1496,1496
1584421223,1679,1679
1584423026,1469,1469
1584424821,1191,1191
1584426629,1136,1136
1584428419,1188,1188
1584430224,1268,1268
1584432021,1515,1515
1584433832,1729,1729
1584435622,1910,1910
1584437422,2343,2343
1584439229,2193,2193
1584441023,2089,2089
1584442833,1833,1833
1584444625,1593,1593
1584446418,1599,1599
1584448220,1682,1682
1584450022,1788,1788
1584451814,1885,1885
1584453617,1990,1990
1584455418,2089,2089
1584457219,2219,2219
1584459014,2358,2358
1584460814,2481,2481
1584462613,2605,2605
1584464414,2673,2673
1584466211,2728,2728
1584468011,2838,2838
1584469813,3077,3077
1584471610,3186,3186
1584473408,3265,3265
1584475206,3402,3402
1584477007,3483,3483
1584478806,3581,3581
1584480605,3711,3711
1584482404,3839,3839
1584484203,3805,3805
1584486003,3370,3370
1584487801,3308,3308
1584489601,3199,3199
1584491401,3236,3236
1584493201,3209,3209
1584495001,3286,3286
1584496801,3281,3281
1584498601,3293,3293
1584500401,3293,3293
1584502202,3273,3273
1584504001,3242,3242
1584505801,3112,3112
1584507601,3106,3106
1584509401,3113,3113
1584511201,3106,3106
1584513001,2974,2974
1584514801,2958,2958
1584516601,2964,2964
1584518401,3067,3067
1584520201,3037,3037
1584522002,3005,3005
1584523801,2900,2900
1584525601,2859,2859
1584527401,2955,2955
1584529201,2941,2941
1584531001,2948,2948
